Index,Temperature,Distance1,Distance2,Distance3
1,86.45,132,132,133,
2,87.35,129,127,131,
3,86.90,134,134,134,
4,88.25,135,134,132,
5,86.90,132,134,134,
6,87.80,131,130,130,
7,87.80,133,136,133,
8,87.35,130,132,132,
9,87.80,131,133,130,
10,86.90,133,132,132,
11,87.80,132,131,132,
12,86.45,134,131,131,
13,86.90,133,133,132,
14,87.35,132,134,131,
15,87.80,131,129,132,
16,86.90,132,129,130,
17,87.35,133,133,130,
18,87.80,130,130,134,
19,86.90,131,131,131,
20,87.80,131,133,130,
21,87.35,131,129,131,
22,87.35,129,131,130,
23,87.35,133,131,130,
24,88.25,126,132,127,
25,87.80,130,129,131,
26,86.90,130,132,130,
27,87.35,131,131,130,
28,87.80,130,128,134,
29,87.35,131,134,131,
30,87.35,134,136,134,
31,87.35,133,134,133,
32,87.35,136,132,134,
33,87.35,133,138,131,
35,87.80,132,133,133,
36,87.35,135,135,136,
37,87.80,135,135,131,
38,86.00,133,136,132,
39,87.80,134,132,133,
40,87.80,133,137,133,
41,86.90,136,137,133,
42,87.35,133,134,134,
43,87.80,135,136,133,
44,87.80,135,134,130,
45,87.80,135,135,132,
46,87.80,134,135,132,
47,87.35,133,133,133,
48,87.35,134,136,133,
49,87.80,133,135,130,
50,87.35,132,135,134,
51,88.25,132,134,134,
52,87.80,131,134,133,
53,87.80,134,134,134,
54,88.25,133,132,134,
55,87.80,133,136,135,
56,86.45,134,137,134,
57,88.25,134,133,135,
58,87.35,134,134,134,
59,87.35,137,133,132,
60,88.25,133,135,132,
61,87.35,134,136,131,
62,87.80,133,135,134,
63,88.25,134,136,132,
64,87.80,133,131,137,
65,87.80,134,138,134,
66,87.35,133,135,130,
67,87.35,134,137,134,
68,87.35,133,134,134,
69,87.80,134,134,132,
70,86.45,134,132,135,
71,86.90,136,133,134,
72,86.90,136,131,134,
73,87.35,137,134,130,
74,87.35,134,135,132,
75,87.80,132,133,131,
76,87.80,138,132,133,
77,87.35,135,136,134,
78,87.80,133,135,134,
79,88.25,136,133,134,
80,87.35,135,134,134,
81,87.80,132,135,135,
82,88.25,135,133,135,
83,87.35,133,137,132,
84,88.25,135,138,134,
85,87.35,135,131,136,
86,87.35,132,133,135,
87,87.35,135,134,131,
88,87.80,134,134,135,
89,87.80,135,133,133,
90,88.25,134,133,132,
91,86.90,135,133,132,
92,87.35,132,132,130,
93,87.80,134,136,133,
94,87.80,135,132,131,
95,87.80,137,136,133,
96,87.35,134,132,134,
97,87.35,135,131,133,
98,87.35,135,132,132,
99,86.90,134,134,136,
100,88.25,134,131,134,
101,88.25,134,134,132,
102,87.80,133,133,134,
103,86.45,137,132,133,
104,88.25,132,134,134,
105,87.35,132,133,135,
106,86.90,135,132,132,
107,86.90,134,135,134,
108,86.90,132,131,135,
109,87.80,133,131,135,
110,87.80,136,136,133,
111,87.80,134,132,131,
112,88.25,136,136,133,
113,87.80,133,132,135,
114,87.35,134,135,134,
115,87.80,132,135,134,
116,87.80,131,136,134,
117,87.80,135,135,134,
118,86.90,136,132,137,
119,87.80,131,135,134,
120,86.45,134,136,136,
121,87.80,133,133,133,
122,88.25,131,137,131,
123,87.80,135,134,136,
124,86.90,132,135,130,
125,87.80,133,135,134,
126,87.35,135,134,137,
127,87.35,135,135,136,
128,87.80,137,131,135,
129,87.80,134,134,132,
130,88.25,136,134,133,
131,88.25,133,134,134,
132,87.80,134,136,135,
133,87.35,133,135,134,
134,88.25,136,134,136,
135,88.25,130,131,132,
136,88.25,135,136,130,
137,87.35,135,134,132,
138,88.70,135,134,134,
139,88.70,132,136,135,
140,88.25,135,136,134,
141,88.25,134,135,137,
142,88.70,134,134,136,
143,87.80,137,134,137,
144,87.80,136,136,134,
145,88.25,134,134,136,
146,87.80,134,132,131,
147,87.80,136,132,129,
148,88.25,134,134,134,
149,88.25,136,135,133,
150,87.80,137,136,133,
151,87.35,133,132,135,
152,87.80,136,136,133,
153,87.80,135,134,135,
154,88.25,136,135,137,
155,87.35,134,131,135,
156,88.25,133,137,135,
157,87.80,136,133,133,
158,87.35,133,134,133,
159,87.80,134,137,131,
160,87.35,137,133,135,
161,88.25,134,136,137,
162,88.25,135,136,137,
163,87.80,133,136,133,
164,88.70,137,134,134,
165,88.25,135,132,135,
166,88.25,136,135,137,
167,87.80,134,135,135,
168,87.35,134,135,136,
169,88.25,135,136,134,
170,88.25,134,134,132,
171,88.25,135,136,133,
172,88.25,136,132,137,
173,88.25,136,132,133,
174,88.70,135,135,136,
175,89.15,136,132,134,
176,87.80,135,136,137,
177,88.25,135,133,136,
178,88.25,137,133,135,
179,88.25,137,134,136,
180,88.70,132,137,133,
181,88.25,138,136,135,
182,88.70,133,133,134,
183,88.70,134,132,134,
184,87.80,138,136,135,
185,88.70,138,135,132,
186,88.25,135,133,133,
187,88.25,132,134,133,
188,88.70,136,135,134,
189,88.70,133,134,133,
190,87.80,134,132,136,
191,88.25,136,134,132,
192,88.25,136,136,133,
193,88.25,133,135,134,
194,88.70,134,135,134,
195,87.80,135,134,136,
196,88.25,134,135,136,
197,89.15,136,132,135,
198,88.25,137,136,133,
199,88.25,134,134,135,
200,88.25,134,135,133,
201,87.35,131,133,133,
202,87.80,138,143,141,
203,88.25,140,141,141,
204,88.25,138,135,138,
205,88.70,138,134,135,
206,88.25,132,135,132,
207,88.70,137,136,137,
208,88.25,134,137,133,
209,88.25,135,136,132,
210,88.25,134,137,131,
211,88.25,132,137,134,
212,87.80,135,133,134,
213,88.70,132,134,137,
214,88.25,132,133,134,
215,88.25,136,134,135,
216,88.70,135,134,134,
217,88.25,136,137,135,
137,134,131,
218,87.35,134,133,133,
219,88.70,133,137,136,
220,88.70,135,138,135,
221,89.15,133,135,136,
222,88.70,136,133,135,
223,88.25,137,135,134,
224,88.70,134,137,134,
225,88.70,133,134,131,
226,88.70,135,134,133,
227,88.70,134,134,134,
228,88.70,135,136,132,
229,88.70,132,135,135,
230,88.25,136,134,133,
231,87.80,132,136,139,
232,88.70,139,135,133,
233,88.70,135,132,130,
234,87.80,136,134,136,
235,88.25,131,136,136,
236,87.80,133,132,135,
237,88.70,137,135,135,
238,87.35,138,135,135,
239,88.70,135,136,133,
240,88.70,136,135,136,
241,87.35,133,135,136,
242,88.25,137,134,137,
243,87.80,134,134,136,
244,88.25,137,135,136,
245,87.80,132,136,137,
246,88.25,137,135,138,
247,87.80,136,135,135,
248,88.25,137,134,138,
249,88.25,136,134,135,
250,87.35,137,133,134,
251,88.70,136,135,133,
252,88.70,133,137,136,
253,88.70,138,139,136,
254,88.25,136,136,137,
255,88.70,137,135,136,
256,88.25,134,134,134,
257,87.35,134,135,138,
258,88.25,133,135,137,
259,87.80,134,134,135,
260,88.70,137,132,137,
261,88.70,135,135,136,
262,88.25,139,135,136,
263,88.25,137,137,134,
264,88.70,135,134,136,
265,88.70,137,131,133,
266,87.35,134,133,136,
267,87.35,135,135,136,
268,87.35,133,131,135,
269,87.80,134,139,133,
270,88.70,134,135,137,
271,87.80,136,136,137,
272,88.70,136,135,135,
273,88.70,134,137,135,
274,88.70,136,135,137,
275,88.70,135,136,135,
